Name,Latitude,Longitude,Description
Mufassa's Restaurant,12.6497868,78.5836413,restaurant
,12.6489933,78.5832679,toilets
Hotel parking,12.6469646,78.58292,parking
,12.6468646,78.5831453,restaurant
,12.6469202,78.583148,toilets
,12.6722941,78.6228677,
,12.6723245,78.6229708,
,12.6798514,78.6173039,
,12.6774708,78.6194687,
,12.6565403,78.6040182,school
,12.6764045,78.622439,atm
,12.6556014,78.6030078,fast_food
,12.6462704,78.5827855,college
Government Hospital Blood Bank - Viniyambadi,12.6767815,78.6156321,blood_bank
Ar-Rahaman Hospital,12.6829859,78.6201891,hospital
"Vasantha Hospital, Vaniyambadi",12.6812837,78.6160583,hospital
Vaniyambadi Government Hospital,12.6768168,78.6156127,hospital
Nethaji Bone Clinic,12.6500339,78.5932002,clinic
Dr. Mudassir's AL Ameen Clinic,12.6824791,78.6165471,clinic
Dr. Tamilselvi Clinic,12.671491,78.624036,clinic
Vijaya Ortho Care,12.677242,78.6185662,clinic
Sugam Child Clinic,12.6845149,78.618203,clinic
Azeem Multispeciality Dental Care Centre,12.6804406,78.6151936,dentist
Kasthuri Siddha Ayurveda Clinic,12.6909265,78.6059919,clinic
David Hospital,12.6800933,78.6217087,hospital
Dr. D Ejaz Ahmed Clinic,12.680371,78.6150574,clinic
Reddy Dental Clinic,12.6787893,78.6199316,dentist
Dr. Ihthisham,12.6724666,78.6128385,doctors
Sai Senthil Hospital,12.675338,78.622303,hospital
Aysha Hospital,12.6822087,78.6162192,hospital
Dr. Yasir Unani Herbal Hospital,12.680914,78.6204016,hospital
Dr. Akbar Kausar's Herbal Hospital,12.6735932,78.6274915,hospital
Sana Hospital and Health Care,12.6774423,78.6141207,hospital
Newtown Government Hospital,12.6743086,78.6260034,hospital
Devi's Dental Clinic,12.6791718,78.6240163,dentist
Al Kausar Herbal Hospitals,12.6750494,78.6258247,hospital
Dr. Parvathi Hospital,12.6786712,78.6166689,hospital
Tahseen Clinic,12.6741296,78.6099444,clinic
Indira Eye Clinic,12.680626,78.615383,clinic
Vaniyambadi Multi Speciality Hospital,12.6801561,78.6217264,hospital
Dr. Ather Sayeed,12.6725082,78.6128614,doctors
Raffah Hospital,12.6762221,78.614,hospital
Ikram Hospital,12.681111,78.6149774,hospital
Singh Dental Clinic,12.6755067,78.6326729,dentist
Pulippani Siddha Hospital,12.6796389,78.6182802,hospital
Kafeel Multispeciality Hospital,12.6815276,78.6160666,hospital
Al Hakeem Unani Clinic & Hijamah Centre,12.6770321,78.615209,clinic
Shifa Poly Clinic,12.681515,78.615649,clinic
Dr. Ifthi's Unani Herbal Hospital,12.6769021,78.6183925,hospital
"SR Hospital, Vaniymbadi",12.6808002,78.6216025,hospital
Dr.Ather Sayeed's Multi Speciality Clinic,12.673572,78.6130743,clinic
AR Hospital,12.6810937,78.6150643,hospital
AN Nasr Clinic,12.6817361,78.607525,clinic
Kumars Dental Care Centre,12.6800092,78.6174962,dentist
AA Ramhan Hospital,12.6812889,78.6204972,hospital
Maryam Clinic,12.6751883,78.6162843,clinic
HP,12.6547173,78.601685,fuel
Adyar Ananda Bhavan,12.6551532,78.6025481,restaurant
Vaniyambadi Bus Station,12.678112,78.6207541,bus_station
