Name,Latitude,Longitude,Description
Central Park,40.785091,-73.968285,Famous park in New York City
Times Square,40.758896,-73.985130,Major commercial intersection in Manhattan
Statue of Liberty,40.689247,-74.044502,Iconic monument and symbol of freedom
Empire State Building,40.748817,-73.985428,Historic Art Deco skyscraper
Brooklyn Bridge,40.706086,-73.996864,Suspension bridge connecting Manhattan and Brooklyn
Metropolitan Museum of Art,40.779437,-73.963244,One of the world's largest art museums
Grand Central Terminal,40.752726,-73.977229,Historic train station and architectural landmark
Rockefeller Center,40.758740,-73.978674,Large complex of commercial buildings
One World Trade Center,40.713003,-74.013169,Tallest building in the Western Hemisphere
High Line,40.747993,-74.004765,Elevated linear park built on former rail line
